date_posted;funny;helpful;hour_played;recommendation;title;Rank;Year;Genre;Publisher;Global_Sales
13-04-2015;0;0;0;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;4;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;4;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;5;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;8;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;8;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;12;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;17;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;17;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;25;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;25;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;32;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;33;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;39;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;41;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;41;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;43;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;43;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;44;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;51;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;53;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;54;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;55;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;67;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;68;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;70;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;72;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;73;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;77;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;82;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;82;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;85;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;85;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;90;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;92;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;94;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;97;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;108;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;117;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;119;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;119;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;121;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;122;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;143;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;143;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;147;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;152;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;162;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;163;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;165;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;166;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;167;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;179;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;188;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;195;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;196;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;197;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;202;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;205;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;206;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;206;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;209;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;210;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;218;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;224;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;227;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;229;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;232;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;234;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;244;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;244;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;249;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;252;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;254;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;259;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;265;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;267;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;271;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;274;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;279;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;281;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;289;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;291;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;295;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;297;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;299;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;319;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;353;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;377;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;380;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;389;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;392;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;400;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;407;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;409;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;414;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;442;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;449;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;451;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;462;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;503;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;505;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;508;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;532;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;557;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;565;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;574;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;591;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;594;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;602;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;670;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;746;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;850;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;1223;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;1284;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;1493;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
13-04-2015;0;0;3548;Not Recommended;Grand Theft Auto V;1898;2015;Action;Take-Two Interactive;1,08
